Tabela 05 - Destino dos impostos sobre produtos nacionais - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
01918,Café em grão,-172,1,-2,0,0,0,0,0,0,0,-173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-172,0,0,0,0,0,0,0,-172
01919,Outros produtos da lavoura permanente,1145,2,1,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,81,0,1,0,1061,2,0,1064,1145
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",2147,14,97,0,0,0,0,0,1505,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,0,16,0,0,0,1642,0,0,0,87,418,0,505,2147
01922,Leite de vaca e de outros animais,500,2,55,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,244,0,0,0,256,0,0,256,500
01923,Suínos,182,3,18,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,14,0,0,14,182
01924,Aves e ovos,1051,6,113,1,0,0,0,0,225,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,482,0,1,0,567,1,0,569,1051
02801,Produtos da exploração florestal e da silvicultura,2008,135,162,80,0,0,0,0,13,0,9,0,0,3,1,0,149,98,0,0,0,4,0,0,0,36,1,9,0,0,0,0,0,0,0,0,0,0,0,0,137,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,859,0,0,0,1120,29,0,1149,2008
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",1063,2,4,100,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,5,0,0,0,206,0,1,0,856,0,0,857,1063
05801,Carvão mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05802,Minerais não metálicos,1622,10,37,1,12,16,0,0,2,0,11,0,0,0,0,0,0,0,0,0,8,47,2,0,0,0,176,12,10,0,0,2,0,0,0,0,0,0,0,8,1200,2,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1622,0,0,0,0,0,0,0,1622
06801,"Petróleo, gás natural e serviços de apoio",952,0,0,0,0,211,0,0,0,0,2,0,0,0,0,0,0,2,0,536,0,6,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,142,0,142,952
07911,Minério de ferro,163,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,163
07921,Minerais metálicos não ferrosos,271,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,271
10911,Carne de bovinos e outros produtos de carne,11783,0,80,0,0,0,0,0,44,0,7,0,0,0,0,100,0,0,0,0,10,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,609,0,0,0,0,0,0,0,0,0,0,0,0,38,39,18,15,56,0,17,0,1089,0,6,0,10688,0,0,10694,11783
10912,Carne de suíno,779,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,0,96,0,0,0,683,0,0,683,779
10913,Carne de aves,3348,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,4,13,0,4,0,189,0,0,0,3159,0,0,3159,3348
10914,Pescado industrializado,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,26,0,0,0,561,0,0,561,587
10915,"Leite resfriado, esterilizado e pasteurizado",2860,0,0,0,0,0,0,0,253,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,27,14,3,7,18,0,1,0,352,0,3,0,2505,0,0,2508,2860
10916,Outros produtos do laticínio,8956,0,0,0,0,0,0,0,143,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,5,9,0,7,0,317,0,1,0,8638,0,0,8639,8956
10921,Açúcar,1264,1,5,0,0,0,0,0,3,6,52,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,4,0,1,0,128,0,0,0,1136,0,0,1136,1264
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",4194,0,0,0,0,0,0,0,2,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,4,8,0,2,0,198,0,2,0,3994,0,0,3996,4194
10932,Óleos e gorduras vegetais e animais,3488,16,92,0,0,0,0,0,313,0,464,0,0,0,0,0,0,0,0,0,22,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,4,0,1,0,1048,0,0,0,2440,0,0,2440,3488
10933,Café beneficiado,1780,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,39,0,0,0,0,9,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,59,0,1,0,1720,0,0,1721,1780
10934,Arroz beneficiado e produtos derivados do arroz,1560,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2,6,6,0,1,0,101,0,1,0,1458,0,0,1459,1560
10935,"Produtos derivados do trigo, mandioca ou milho",3298,1,17,0,0,0,0,0,74,0,294,44,0,0,0,0,0,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,4,0,4,0,690,0,2,0,2606,0,0,2608,3298
10936,Rações balanceadas para animais,2711,68,882,77,0,0,0,0,311,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,2,5,107,0,1485,0,0,0,1226,0,0,1226,2711
10937,Outros produtos alimentares,17035,1,6,1,0,0,0,0,58,0,158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,196,0,0,0,0,0,0,1,0,1,0,0,0,20,32,12,41,39,1,5,0,594,0,7,0,16434,0,0,16441,17035
11001,Bebidas,21722,0,0,0,0,0,0,0,45,0,0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,100,5423,0,0,0,0,41,0,0,0,0,0,0,0,10,12,2,6,51,5,5,0,6539,0,0,0,15183,0,0,15183,21722
12001,Produtos do fumo,7909,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12,0,0,7810,0,0,7822,7909
13001,Fios e fibras têxteis beneficiadas,552,2,1,0,0,0,0,0,0,0,0,0,0,247,286,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,9,0,0,9,552
13002,Tecidos,1370,9,0,0,5,0,0,0,0,0,2,0,0,104,856,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1125,0,0,0,245,0,0,245,1370
13003,Artigos têxteis de uso doméstico e outros têxteis,4429,23,1,1,5,5,0,0,0,2,4,0,0,104,42,32,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,112,15,4,0,0,0,18,22,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,3,0,155,0,587,0,0,0,3842,0,0,3842,4429
14001,Artigos do vestuário e acessórios,15693,0,0,0,0,4,0,0,0,0,0,0,0,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,4,9,34,20,1,48,5,6,21,0,27,4,0,192,9,2,43,8,0,35,53,44,55,0,4,9,33,229,0,1059,0,1,0,14633,0,0,14634,15693
15001,Calçados e artefatos de couro,7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,18,2,0,0,0,0,0,0,0,295,21,0,0,7270,0,0,7291,7586
16001,"Produtos de madeira, exclusive móveis",2733,57,82,5,0,0,0,0,2,0,9,3,0,2,0,0,243,12,0,0,0,0,0,0,0,0,1,0,0,11,0,0,6,4,2,10,307,0,19,0,1327,111,0,0,0,3,0,0,0,6,0,0,0,108,0,0,0,0,23,0,6,3,0,0,0,0,49,0,2411,0,0,0,318,4,0,322,2733
17001,Celulose,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34
17002,"Papel, papelão, embalagens e artefatos de papel",7395,47,16,0,0,3,7,1,97,0,155,8,18,42,45,24,42,288,42,4,0,2,6,78,24,57,59,0,0,108,26,10,2,4,16,0,40,0,8,2,76,741,14,2,5,34,11,164,223,19,3,75,351,55,381,100,86,84,410,9,43,53,81,7,125,6,98,0,4537,0,0,0,2858,0,0,2858,7395
18001,Serviços de impressão e reprodução,2871,0,0,0,0,0,0,0,2,0,2,8,0,0,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,7,319,3,0,9,0,0,4,392,53,30,168,347,55,101,53,697,11,242,1,76,18,4,8,4,62,83,0,2815,0,0,0,56,0,0,56,2871
19911,Combustíveis para aviação,2469,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,2379,0,0,0,90,0,0,90,2469
19912,Gasoálcool,32183,142,148,9,0,0,0,0,8,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,311,318,249,2,33,8,3,31,12,3,6,56,260,34,219,130,37,170,194,38,90,15,12,5,92,32,75,0,2770,0,0,0,29413,0,0,29413,32183
19913,Naftas para petroquímica,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,303
19914,Óleo combustível  ,2091,10,6,2,68,12,0,54,84,0,54,18,0,6,0,0,4,138,0,50,0,110,20,2,2,6,86,48,252,2,0,0,12,0,0,2,0,2,561,12,138,106,0,154,0,66,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2091,0,0,0,0,0,0,0,2091
19915,Diesel - biodiesel,8105,756,390,36,3,0,0,0,2,0,4,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,1306,560,3895,20,17,8,2,2,1,2,0,0,0,1,0,1,0,19,0,76,17,6,20,1,9,12,60,0,7243,0,0,0,862,0,0,862,8105
19916,Outros produtos do refino do petróleo,33530,123,92,4,2,62,28,10,1,0,28,0,0,3,0,8,0,29,0,27117,0,99,52,21,0,83,198,156,13,8,0,44,14,10,15,0,4,14,17,10,450,290,370,4,0,7,1,133,0,0,0,0,0,1,0,28,3,27,1,0,36,8,0,2,4,1,26,0,29657,0,0,0,3873,0,0,3873,33530
19921,Etanol e outros biocombustíveis,12573,26,32,2,0,46,0,0,4,6,7,2,0,0,0,0,0,0,0,1601,26,20,22,100,62,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,130,65,154,0,3,6,0,2,0,0,0,4,15,0,15,30,9,13,11,24,77,14,0,5,20,0,37,0,2596,0,0,0,9977,0,0,9977,12573
20911,Produtos químicos inorgânicos,1262,209,85,2,2,30,0,2,0,2,12,4,0,9,0,4,0,54,0,0,0,341,64,25,2,11,47,16,18,17,0,4,0,0,0,11,7,15,4,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,11,170,0,46,0,1257,0,0,0,5,0,0,5,1262
20912,Adubos e fertilizantes,3501,3052,362,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3501,0,0,0,0,0,0,0,3501
20913,Produtos químicos orgânicos,893,0,0,0,0,30,5,2,6,0,2,0,0,14,2,8,0,20,0,0,26,417,214,54,26,34,0,8,4,8,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,893,0,0,0,0,0,0,0,893
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",784,3,0,0,0,36,0,0,0,0,0,0,0,150,0,20,10,26,0,0,0,30,32,18,2,287,30,0,4,18,2,54,2,2,22,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,784
20921,Defensivos agrícolas e desinfestantes domissanitários,2023,1482,173,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,188,0,0,0,0,0,0,0,0,0,1983,0,0,0,40,0,0,40,2023
20922,Produtos químicos diversos ,1024,0,2,0,157,20,14,10,28,0,86,4,0,9,0,3,24,17,8,8,4,16,79,30,24,30,14,10,2,9,0,2,4,2,0,0,12,11,1,12,112,113,0,0,0,3,0,0,0,0,0,0,5,4,0,0,3,0,13,0,5,17,0,50,0,1,0,0,978,0,0,0,46,0,0,46,1024
20923,"Tintas, vernizes, esmaltes e lacas",2695,0,6,0,0,0,0,0,0,0,2,0,0,3,2,3,22,38,37,0,0,0,6,0,0,53,21,0,0,32,10,0,2,12,4,4,14,21,13,10,1810,52,23,0,0,0,0,0,45,13,0,0,0,260,0,0,0,4,94,0,25,11,0,2,0,1,19,0,2674,0,0,0,21,0,0,21,2695
20931,"Perfumaria, sabões e artigos de limpeza",13367,0,2,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,2,23,321,35,0,0,9,10,10,1,9,10,2,2,0,57,22,65,24,400,1,18,17,36,3,170,45,269,0,1633,0,0,0,11734,0,0,11734,13367
21001,Produtos farmacêuticos,11157,43,384,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,34,44,42,489,2038,4,149,0,3302,0,353,0,7502,0,0,7855,11157
