Tabela 01 - Recursos de bens e serviços - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
01917,Laranja,9560,2800,725,102,5933,5840,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5894,39
01918,Café em grão,17886,1531,186,-172,16341,15655,526,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,16341,0
01919,Outros produtos da lavoura permanente,32767,7706,617,1420,23024,20386,521,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,21148,1876
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",78580,5323,112,2150,70995,4755,65761,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,70866,129
01922,Leite de vaca e de outros animais,31057,4306,967,500,25284,2476,22740,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25284,0
01923,Suínos,9343,542,3,182,8616,503,8107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8610,6
01924,Aves e ovos,28189,2714,165,1051,24259,467,23680,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24160,99
02801,Produtos da exploração florestal e da silvicultura,28946,3502,487,2122,22835,986,1125,19410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21563,1272
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",18055,2869,71,1219,13896,367,457,11714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12538,1358
05801,Carvão mineral,9485,0,981,0,8504,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,7136
05802,Minerais não metálicos,29359,4776,1755,1770,21058,53,259,21,17284,0,0,60,0,0,16,0,0,0,0,0,0,0,0,0,0,290,26,0,0,0,631,16,0,15,0,0,0,0,199,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18997,2061
06801,"Petróleo, gás natural e serviços de apoio",206316,0,948,2465,202903,0,0,0,0,161477,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,19,0,0,0,0,0,0,0,22,0,0,211,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162130,40773
07911,Minério de ferro,60091,4921,2360,163,52647,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52647,0
07921,Minerais metálicos não ferrosos,24278,2606,1009,507,20156,0,0,0,15,0,537,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,35,567,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16595,3561
10911,Carne de bovinos e outros produtos de carne,173538,35003,1322,11993,125220,104,375,4,0,0,0,0,120927,0,892,0,0,9,0,234,0,0,0,0,0,52,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123609,1611
10912,Carne de suíno,17253,1890,111,779,14473,27,45,1,0,0,0,0,13953,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14473,0
10913,Carne de aves,65605,8601,730,3352,52922,0,24,0,0,0,0,0,48701,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52888,34
10914,Pescado industrializado,9933,1780,88,1253,6812,0,0,7,0,0,0,0,4147,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,2650
10915,"Leite resfriado, esterilizado e pasteurizado",28171,5157,524,2860,19630,0,0,0,0,0,0,0,16792,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19629,1
10916,Outros produtos do laticínio,71998,15002,499,9329,47168,128,1130,4,0,0,0,0,43588,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45608,1560
10921,Açúcar,45803,6797,1961,1267,35778,149,50,3,32,0,0,0,29,28871,397,6,0,0,0,0,0,0,0,0,6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35744,34
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",43224,10865,426,5142,26791,54,27,16,0,0,0,0,423,0,22477,608,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23848,2943
10932,Óleos e gorduras vegetais e animais,75711,6057,1916,3959,63779,11,3,2,0,0,0,0,631,0,55024,0,0,7,0,7,0,0,0,0,380,84,48,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60979,2800
10933,Café beneficiado,18831,5158,216,1858,11599,72,31,1,0,0,0,0,63,15,10978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11316,283
10934,Arroz beneficiado e produtos derivados do arroz,23238,7244,404,1647,13943,558,30,7,0,0,0,0,12,0,12155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13482,461
10935,"Produtos derivados do trigo, mandioca ou milho",51831,12818,803,3426,34784,1862,713,284,0,0,0,0,225,149,29407,62,0,0,0,0,0,11,0,0,15,44,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34016,768
10936,Rações balanceadas para animais,45437,7217,1251,2865,34104,0,0,0,15,0,0,0,1962,0,30756,0,0,0,0,0,0,0,0,0,0,32,90,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33215,889
10937,Outros produtos alimentares,171973,50349,912,18303,102409,13,14,3,74,0,0,0,2402,28,73665,161,0,0,0,10,0,0,0,0,16,76,497,84,300,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,21589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98948,3461
11001,Bebidas,135669,22886,2053,25022,85708,169,225,7,0,0,0,0,111,42,2507,73600,0,0,0,0,0,0,0,0,90,0,46,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78218,7490
12001,Produtos do fumo,31692,2924,31,7924,20813,109,62,1,0,0,0,0,0,0,0,0,14919,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15097,5716
13001,Fios e fibras têxteis beneficiadas,14249,2354,152,1019,10724,1330,314,6,0,0,0,0,0,0,0,0,0,7432,22,0,0,0,0,0,0,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9150,1574
13002,Tecidos,29113,4893,328,2972,20920,0,0,0,0,0,0,0,0,0,0,0,0,16241,225,11,0,0,0,0,0,0,0,0,0,218,72,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16783,4137
13003,Artigos têxteis de uso doméstico e outros têxteis,47478,14240,451,6111,26676,0,0,0,0,0,0,0,0,0,0,0,0,20212,110,43,0,43,0,0,0,335,7,24,0,566,74,0,0,27,11,7,20,0,195,0,330,45,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,22147,4529
14001,Artigos do vestuário e acessórios,147596,50223,1248,22730,73395,0,0,0,0,0,0,0,0,0,0,0,0,387,60213,152,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61921,11474
15001,Calçados e artefatos de couro,74135,19992,721,10326,43096,0,0,0,0,0,0,0,28,0,0,0,0,29,164,38662,0,8,0,0,0,0,35,0,0,174,0,0,0,9,11,0,0,0,26,0,118,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39389,3707
16001,"Produtos de madeira, exclusive móveis",36889,6800,605,2876,26608,17,14,4,0,0,0,0,0,0,6,0,0,15,0,0,25468,124,0,0,0,0,0,0,0,30,0,0,0,53,0,0,19,0,0,0,181,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26158,450
17001,Celulose,24018,913,344,139,22622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21456,1166
17002,"Papel, papelão, embalagens e artefatos de papel",85895,15571,1196,8325,60803,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,55179,416,0,0,0,79,834,0,381,64,0,10,0,0,0,28,0,0,0,27,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57150,3653
18001,Serviços de impressão e reprodução,34340,11804,355,2927,19254,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,0,305,17502,0,0,0,9,204,0,75,0,0,0,7,14,10,0,0,0,0,6,0,0,0,0,386,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18884,370
19911,Combustíveis para aviação,20939,1195,200,4510,15034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10345,4689
19912,Gasoálcool,144410,29841,1001,32183,81385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81385,0
19913,Naftas para petroquímica,17542,0,363,611,16568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8218,8350
19914,Óleo combustível  ,20745,994,642,2251,16858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16379,0,0,0,0,0,0,20,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16422,436
19915,Diesel - biodiesel,138214,15917,1764,8105,112428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112428,0
19916,Outros produtos do refino do petróleo,231826,18652,1336,39488,172350,0,0,0,30,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,143913,0,2188,375,130,0,0,237,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151013,21337
19921,Etanol e outros biocombustíveis,83539,9863,1134,12780,59762,22,0,0,0,0,0,0,0,18002,3976,125,0,0,0,168,0,0,0,0,35848,19,6,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58770,992
20911,Produtos químicos inorgânicos,71889,8292,1126,3973,58498,0,0,0,152,0,0,37,0,0,27,0,0,0,0,0,0,7,0,75,0,27882,905,205,23,47,226,28,1045,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,31176,27322
20912,Adubos e fertilizantes,54048,7879,791,4005,41373,0,0,0,103,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,37333,225,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38303,3070
20913,Produtos químicos orgânicos,77100,5913,980,3785,66422,0,0,0,0,0,0,0,0,22,884,0,0,0,0,8,0,0,0,47,13,36565,1855,467,245,58,40,66,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40292,26130
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",64645,6065,879,3723,53978,0,0,0,7,0,0,0,0,0,0,0,0,548,0,31,0,0,0,0,0,31459,2205,81,29,577,55,0,0,19,0,45,27,0,9,0,79,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35185,18793
20921,Defensivos agrícolas e desinfestantes domissanitários,55662,5512,0,4233,45917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,28259,960,424,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29877,16040
20922,Produtos químicos diversos ,39406,3346,523,2422,33115,0,0,0,44,0,0,140,31,0,1290,18,0,90,0,73,0,8,0,231,0,2384,19583,248,59,129,299,43,28,7,18,48,11,0,35,0,121,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,24973,8142
20923,"Tintas, vernizes, esmaltes e lacas",27403,4893,360,3154,18996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,257,16831,75,0,7,229,0,0,0,0,0,0,0,0,0,56,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17492,1504
20931,"Perfumaria, sabões e artigos de limpeza",103358,32954,869,20453,49082,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,54,0,6,48,806,454,35161,466,0,19,0,0,27,0,0,12,0,0,0,84,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37244,11838
21001,Produtos farmacêuticos,145038,35405,1441,18146,90046,0,0,0,0,0,0,0,0,0,158,0,0,1,0,0,0,0,0,0,0,164,71,100,54528,15,70,0,0,0,11,0,0,0,0,0,251,0,0,0,0,6559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,62174,27872
22001,Artigos de borracha,41355,4717,518,4424,31696,0,0,0,0,0,0,0,11,0,0,0,0,20,0,51,0,0,0,0,0,9,112,0,6,23679,0,9,0,9,0,6,155,0,238,0,36,29,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24424,7272
