Tabela 09 - Destino da margem de transporte sobre produtos nacionais - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
01918,Café em grão,186,1,4,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,1,0,1,186
01919,Outros produtos da lavoura permanente,608,6,1,0,0,0,0,0,0,0,237,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,3,2,0,0,0,324,0,0,0,280,4,0,284,608
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",112,2,1,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,20,0,20,112
01922,Leite de vaca e de outros animais,967,3,61,2,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,904,0,0,0,63,0,0,63,967
01923,Suínos,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
01924,Aves e ovos,165,3,49,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,155,0,0,0,10,0,0,10,165
02801,Produtos da exploração florestal e da silvicultura,487,16,20,28,0,0,0,0,8,0,4,0,0,1,0,0,86,178,0,0,0,5,0,0,0,16,2,31,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,77,0,0,77,487
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",59,0,0,9,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,59,0,0,0,0,0,0,0,59
05801,Carvão mineral,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,121,7,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,168
05802,Minerais não metálicos,1690,3,13,0,15,48,0,0,1,0,6,0,0,0,0,0,0,0,0,0,5,115,3,0,0,0,609,22,6,0,0,1,0,0,2,0,2,0,0,42,750,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1690,0,0,0,0,0,0,0,1690
06801,"Petróleo, gás natural e serviços de apoio",788,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,788
07911,Minério de ferro,2360,0,0,0,0,0,166,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2360,0,0,0,0,0,0,0,2360
07921,Minerais metálicos não ferrosos,535,0,0,0,0,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,535
10911,Carne de bovinos e outros produtos de carne,1295,0,50,0,0,0,0,0,127,0,13,0,0,0,0,148,0,0,0,0,28,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,449,0,0,0,0,0,0,0,0,0,0,0,0,50,51,8,25,18,0,6,0,1048,0,0,0,247,0,0,247,1295
10912,Carne de suíno,111,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,58,0,0,58,111
10913,Carne de aves,730,0,0,0,0,0,0,0,242,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,3,227,0,0,0,0,0,0,0,0,0,0,0,0,18,20,3,9,9,0,4,0,571,0,0,0,159,0,0,159,730
10914,Pescado industrializado,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,29,0,0,0,19,0,0,19,48
10915,"Leite resfriado, esterilizado e pasteurizado",524,0,0,0,0,0,0,0,363,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,25,13,1,6,6,0,0,0,441,0,0,0,83,0,0,83,524
10916,Outros produtos do laticínio,462,0,0,0,0,0,0,0,221,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,4,0,2,0,372,0,0,0,90,0,0,90,462
10921,Açúcar,1961,0,12,0,0,0,0,0,75,249,916,202,0,0,0,0,0,0,0,0,133,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,13,14,1,7,4,0,1,0,1866,0,0,0,95,0,0,95,1961
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",377,0,0,0,0,0,0,0,4,0,67,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,17,17,2,9,4,0,1,0,303,0,0,0,74,0,0,74,377
10932,Óleos e gorduras vegetais e animais,1884,36,177,0,0,0,0,0,592,0,844,0,0,0,0,0,0,0,0,0,50,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,1,0,1,0,1855,0,0,0,29,0,0,29,1884
10933,Café beneficiado,216,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,5,114,0,0,0,0,12,1,1,0,0,0,0,0,5,5,1,2,3,0,1,0,173,0,0,0,43,0,0,43,216
10934,Arroz beneficiado e produtos derivados do arroz,388,0,6,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,0,0,0,0,0,0,0,0,0,0,0,0,35,35,3,17,9,0,2,0,287,0,0,0,101,0,0,101,388
10935,"Produtos derivados do trigo, mandioca ou milho",790,0,7,0,1,0,0,0,86,0,220,50,0,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,530,0,0,0,260,0,0,260,790
10936,Rações balanceadas para animais,1214,44,464,41,0,0,0,0,586,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,32,0,1214,0,0,0,0,0,0,0,1214
10937,Outros produtos alimentares,895,0,3,0,0,0,0,0,88,0,254,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,250,0,0,1,0,0,0,1,0,0,0,0,0,35,42,4,42,26,0,1,0,778,0,0,0,117,0,0,117,895
11001,Bebidas,1931,0,0,0,0,0,0,0,36,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,745,0,0,0,0,11,0,0,0,0,0,0,0,6,6,1,3,14,1,1,0,1452,0,0,0,479,0,0,479,1931
12001,Produtos do fumo,31,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17,0,0,17,31
13001,Fios e fibras têxteis beneficiadas,128,1,0,0,0,0,0,0,0,0,0,0,0,67,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,4,0,0,4,128
13002,Tecidos,266,3,0,0,1,0,0,0,0,0,1,0,0,33,150,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,20,0,0,20,266
13003,Artigos têxteis de uso doméstico e outros têxteis,419,4,0,0,1,2,0,0,0,1,2,0,0,53,8,16,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,4,5,0,0,0,11,4,0,0,0,0,70,39,0,0,0,0,0,0,0,0,0,0,2,0,5,10,0,3,2,0,112,0,363,0,0,0,56,0,0,56,419
14001,Artigos do vestuário e acessórios,1177,0,0,1,0,16,0,0,1,0,0,0,0,1,304,0,0,0,0,0,0,0,1,0,0,0,2,1,0,9,0,0,0,0,0,0,0,0,19,15,6,51,25,1,26,14,14,27,0,17,7,0,98,5,1,22,4,0,19,27,73,93,0,5,5,16,119,0,1045,0,0,0,132,0,0,132,1177
15001,Calçados e artefatos de couro,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,246,0,0,0,416,0,0,416,662
16001,"Produtos de madeira, exclusive móveis",605,8,8,0,0,0,0,0,1,0,6,2,0,0,0,0,98,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,4,1,10,159,0,15,0,143,56,0,0,0,1,0,0,0,3,0,0,0,10,0,0,0,0,3,0,1,0,0,0,0,0,5,0,561,0,0,0,41,3,0,44,605
17001,Celulose,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,232
17002,"Papel, papelão, embalagens e artefatos de papel",1153,11,3,0,0,1,2,0,54,0,55,4,13,10,7,10,13,179,24,3,1,1,3,25,15,35,34,0,0,22,17,7,2,5,10,0,15,0,2,1,8,129,3,1,0,5,6,22,20,2,1,6,30,5,32,8,10,7,38,0,15,18,8,3,38,0,13,0,1012,0,0,0,141,0,0,141,1153
18001,Serviços de impressão e reprodução,355,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,102,0,0,1,0,0,1,26,7,12,22,24,5,8,4,54,1,17,0,17,4,0,2,0,4,6,0,344,0,0,0,11,0,0,11,355
19911,Combustíveis para aviação,113,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,108,0,0,0,5,0,0,5,113
19912,Gasoálcool,1001,45,42,5,0,4,0,0,42,0,3,8,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,11,61,210,120,1,6,7,5,12,3,6,10,13,51,6,45,26,8,34,41,8,89,15,3,3,19,6,15,0,1001,0,0,0,0,0,0,0,1001
19913,Naftas para petroquímica,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,138
19914,Óleo combustível  ,642,3,2,0,21,4,0,16,25,0,16,5,0,2,0,0,1,42,0,15,0,34,6,1,0,2,26,14,77,1,0,0,4,0,0,0,0,0,174,3,43,32,0,52,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,642
19915,Diesel - biodiesel,1764,136,39,8,10,2,44,16,29,17,43,8,0,2,2,2,1,6,0,0,16,13,4,3,2,9,17,12,2,5,2,4,4,13,2,2,3,2,56,10,72,140,963,6,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,1,0,1,1,3,0,1764,0,0,0,0,0,0,0,1764
19916,Outros produtos do refino do petróleo,1018,36,35,0,0,16,6,2,6,0,21,5,0,4,0,2,0,10,0,273,0,33,16,5,0,21,51,41,3,3,0,12,3,3,5,1,1,3,4,2,29,123,56,1,0,1,0,136,0,0,0,0,0,0,0,2,1,13,0,0,12,6,0,1,2,0,12,0,1018,0,0,0,0,0,0,0,1018
19921,Etanol e outros biocombustíveis,1134,3,4,0,0,29,0,0,2,2,2,2,0,0,0,0,0,0,0,712,16,11,8,59,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,20,29,0,0,2,0,0,0,0,0,0,2,0,2,3,1,2,2,2,25,5,0,1,2,0,5,0,1007,0,0,0,127,0,0,127,1134
20911,Produtos químicos inorgânicos,651,43,6,0,1,27,0,1,0,1,10,3,0,4,0,4,0,47,0,0,0,257,55,19,4,10,30,16,16,9,0,3,0,0,0,10,3,6,4,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,7,0,651,0,0,0,0,0,0,0,651
20912,Adubos e fertilizantes,730,628,59,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,730
20913,Produtos químicos orgânicos,559,0,0,0,0,17,2,1,4,0,4,0,0,10,2,6,0,14,0,0,16,252,135,33,19,22,0,5,3,6,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,559,0,0,0,0,0,0,0,559
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",536,1,0,0,0,17,0,0,0,0,0,0,0,48,0,16,8,20,0,0,0,23,26,14,1,231,23,0,3,12,2,41,2,1,17,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,536
20921,Defensivos agrícolas e desinfestantes domissanitários,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20922,Produtos químicos diversos ,382,0,0,0,37,5,4,3,18,0,48,2,0,2,0,2,8,9,4,6,3,11,64,18,17,20,8,7,1,3,0,2,3,1,0,1,6,4,0,3,10,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,13,0,0,0,0,382,0,0,0,0,0,0,0,382
20923,"Tintas, vernizes, esmaltes e lacas",352,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,26,16,0,0,0,2,0,0,38,16,0,0,11,7,0,1,10,3,2,4,11,2,2,127,24,4,0,0,0,0,0,3,2,0,0,0,19,0,0,0,0,7,0,2,1,0,0,0,0,2,0,352,0,0,0,0,0,0,0,352
20931,"Perfumaria, sabões e artigos de limpeza",715,0,1,0,0,4,3,1,2,0,7,1,0,1,1,0,1,1,0,1,0,2,6,141,1,1,2,0,2,21,1,0,0,0,1,0,0,0,0,1,6,118,15,0,0,3,4,5,0,3,7,0,1,0,14,5,25,5,55,0,6,7,4,2,11,5,61,0,565,0,0,0,150,0,0,150,715
21001,Produtos farmacêuticos,964,3,56,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,13,5,133,259,0,14,0,527,0,53,0,384,0,0,437,964
