Tabela 06 - Destino dos impostos sobre produtos importados - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
01918,Café em grão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01919,Outros produtos da lavoura permanente,275,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,1,0,219,0,0,220,275
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3
01922,Leite de vaca e de outros animais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01923,Suínos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01924,Aves e ovos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02801,Produtos da exploração florestal e da silvicultura,114,26,39,24,0,0,0,0,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,1,0,0,1,114
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",156,0,1,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,49,0,1,0,106,0,0,107,156
05801,Carvão mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05802,Minerais não metálicos,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,148
06801,"Petróleo, gás natural e serviços de apoio",1513,0,0,0,0,4,0,0,0,0,6,2,0,2,0,0,0,6,0,1357,0,14,0,0,0,0,4,2,2,2,0,0,0,0,2,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,0,0,0,0,0,1513
07911,Minério de ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07921,Minerais metálicos não ferrosos,236,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,236
10911,Carne de bovinos e outros produtos de carne,210,0,15,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,67,0,1,0,142,0,0,143,210
10912,Carne de suíno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10913,Carne de aves,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
10914,Pescado industrializado,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,41,0,0,0,625,0,0,625,666
10915,"Leite resfriado, esterilizado e pasteurizado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10916,Outros produtos do laticínio,373,0,0,0,0,0,0,0,40,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,72,0,1,0,300,0,0,301,373
10921,Açúcar,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",948,0,0,0,0,0,0,0,8,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,13,15,2,5,8,0,0,0,207,0,1,0,740,0,0,741,948
10932,Óleos e gorduras vegetais e animais,471,0,0,0,0,0,0,0,11,0,112,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,289,0,0,289,471
10933,Café beneficiado,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,71,0,0,71,78
10934,Arroz beneficiado e produtos derivados do arroz,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,14,0,1,0,72,0,0,73,87
10935,"Produtos derivados do trigo, mandioca ou milho",128,0,0,0,0,0,0,0,7,0,24,21,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,54,0,0,54,128
10936,Rações balanceadas para animais,154,3,71,6,0,0,0,0,57,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,148,0,0,0,6,0,0,6,154
10937,Outros produtos alimentares,1268,0,1,0,0,0,0,0,36,0,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,15,4,0,0,0,174,0,1,0,1093,0,0,1094,1268
11001,Bebidas,3300,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1464,0,0,0,1836,0,0,1836,3300
12001,Produtos do fumo,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,7,15
13001,Fios e fibras têxteis beneficiadas,467,4,0,0,0,0,0,0,0,0,0,0,0,241,211,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,2,0,0,2,467
13002,Tecidos,1602,19,0,0,6,0,0,0,0,2,8,0,0,198,1016,175,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,88,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1600,0,0,0,2,0,0,2,1602
13003,Artigos têxteis de uso doméstico e outros têxteis,1682,23,1,0,7,6,0,0,0,2,8,0,0,150,35,53,0,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,18,0,2,0,71,8,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,438,0,0,0,1244,0,0,1244,1682
14001,Artigos do vestuário e acessórios,7037,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,11,1,0,3,1,0,1,4,0,6,0,0,1,1,12,0,80,0,1,0,6956,0,0,6957,7037
15001,Calçados e artefatos de couro,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,100,0,0,0,2640,0,0,2640,2740
16001,"Produtos de madeira, exclusive móveis",143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0,54,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,0,0,0,27,0,0,27,143
17001,Celulose,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,105
17002,"Papel, papelão, embalagens e artefatos de papel",930,1,0,0,0,0,0,0,10,0,21,0,0,1,0,0,11,142,15,0,0,0,0,5,4,24,8,0,0,8,0,4,0,2,0,0,2,0,1,0,4,97,3,0,0,0,0,5,61,4,0,14,83,9,63,15,13,23,78,2,10,12,21,1,26,0,11,0,814,0,0,0,116,0,0,116,930
18001,Serviços de impressão e reprodução,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,2,0,3,5,1,2,0,19,0,3,0,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,0,56
19911,Combustíveis para aviação,2041,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1954,0,0,0,87,0,0,87,2041
19912,Gasoálcool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19913,Naftas para petroquímica,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,308
19914,Óleo combustível  ,160,0,0,0,4,2,0,4,4,0,2,2,0,0,0,0,0,8,0,2,0,8,2,0,0,0,6,2,16,0,0,0,0,0,0,0,0,0,36,0,8,6,0,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,160
19915,Diesel - biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19916,Outros produtos do refino do petróleo,5958,38,28,2,0,27,10,4,0,0,11,0,0,0,0,4,0,12,0,4079,0,46,20,8,0,37,88,68,4,4,0,19,4,4,6,0,2,4,6,4,152,140,140,2,0,2,0,37,0,0,0,0,0,0,0,7,1,7,0,0,12,3,0,0,0,1,7,0,5050,0,0,0,908,0,0,908,5958
19921,Etanol e outros biocombustíveis,207,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,84,0,0,0,123,0,0,123,207
20911,Produtos químicos inorgânicos,2711,545,170,8,4,68,0,4,0,6,29,0,0,11,0,11,0,115,0,0,0,1221,173,53,8,15,84,12,26,14,0,8,0,0,0,0,10,1,12,24,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,40,0,2711,0,0,0,0,0,0,0,2711
20912,Adubos e fertilizantes,504,434,49,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,504
20913,Produtos químicos orgânicos,2892,0,1,0,0,154,23,11,34,0,32,2,0,94,16,58,0,116,0,0,8,807,751,314,180,136,0,40,24,22,0,10,0,2,0,0,16,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,11,0,0,0,2892,0,0,0,0,0,0,0,2892
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",2939,9,0,0,0,101,0,0,0,0,0,0,0,330,0,84,42,106,4,0,0,126,136,72,6,1222,122,0,16,67,14,218,10,4,90,26,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2939,0,0,0,0,0,0,0,2939
20921,Defensivos agrícolas e desinfestantes domissanitários,2210,1417,157,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,35,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,138,0,0,0,0,0,0,0,0,0,2139,0,0,0,71,0,0,71,2210
20922,Produtos químicos diversos ,1398,0,1,0,159,21,16,11,52,0,156,8,0,10,0,5,30,28,12,20,8,36,156,55,52,63,29,20,4,11,0,6,8,4,0,2,22,19,0,12,73,124,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,10,0,0,19,0,54,0,2,0,0,1323,0,0,0,75,0,0,75,1398
20923,"Tintas, vernizes, esmaltes e lacas",459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,18,0,0,0,0,0,0,43,16,0,0,16,8,0,0,10,4,0,3,12,0,0,233,31,9,0,0,0,0,0,10,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,459,0,0,0,0,0,0,0,459
20931,"Perfumaria, sabões e artigos de limpeza",7086,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,140,19,0,0,1,5,3,1,3,9,1,1,0,28,10,61,10,103,0,0,3,6,0,21,11,144,0,666,0,0,0,6420,0,0,6420,7086
21001,Produtos farmacêuticos,6989,6,80,1,0,28,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,24,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,28,22,258,1115,0,60,0,2082,0,302,0,4605,0,0,4907,6989
