Tabela 08 - Destino da margem de comércio sobre produtos importados - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
01918,Café em grão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01919,Outros produtos da lavoura permanente,796,1,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,65,0,1,0,730,0,0,731,796
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,8
01922,Leite de vaca e de outros animais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01923,Suínos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01924,Aves e ovos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02801,Produtos da exploração florestal e da silvicultura,191,25,26,63,0,0,0,0,8,0,7,0,0,1,0,1,2,2,0,0,0,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,1,0,0,1,191
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",263,0,1,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,48,0,0,0,215,0,0,215,263
05801,Carvão mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05802,Minerais não metálicos,601,0,32,1,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,1,29,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601
06801,"Petróleo, gás natural e serviços de apoio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07911,Minério de ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07921,Minerais metálicos não ferrosos,1105,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,0,0,1105
10911,Carne de bovinos e outros produtos de carne,443,0,30,0,0,0,0,0,28,0,3,0,0,0,0,1,0,0,0,0,10,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,331,0,0,331,443
10912,Carne de suíno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10913,Carne de aves,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10
10914,Pescado industrializado,854,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,217,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,6,3,0,2,0,262,0,0,0,592,0,0,592,854
10915,"Leite resfriado, esterilizado e pasteurizado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10916,Outros produtos do laticínio,229,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,36,0,0,0,193,0,0,193,229
10921,Açúcar,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",1465,0,0,0,0,0,0,0,13,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,21,22,2,10,6,0,0,0,381,0,1,0,1083,0,0,1084,1465
10932,Óleos e gorduras vegetais e animais,517,0,0,0,0,0,0,0,17,0,161,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,261,0,0,261,517
10933,Café beneficiado,160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,147,0,0,147,160
10934,Arroz beneficiado e produtos derivados do arroz,227,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,0,0,0,211,0,0,211,227
10935,"Produtos derivados do trigo, mandioca ou milho",198,0,2,0,0,0,0,0,7,0,32,19,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,107,0,0,107,198
10936,Rações balanceadas para animais,172,5,97,7,0,0,0,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,154,0,0,0,18,0,0,18,172
10937,Outros produtos alimentares,1693,0,4,0,0,0,0,0,77,0,109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,49,0,0,1,0,0,0,0,0,0,0,0,0,10,18,2,29,5,0,0,0,321,0,2,0,1370,0,0,1372,1693
11001,Bebidas,3863,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1977,0,0,0,1886,0,0,1886,3863
12001,Produtos do fumo,1315,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1303,0,0,1303,1315
13001,Fios e fibras têxteis beneficiadas,430,3,0,0,0,0,0,0,0,0,0,0,0,215,202,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,2,0,0,2,430
13002,Tecidos,842,10,0,0,3,0,0,0,0,1,4,0,0,113,496,106,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,55,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,841,0,0,0,1,0,0,1,842
13003,Artigos têxteis de uso doméstico e outros têxteis,1780,18,1,0,4,4,0,0,0,3,5,0,0,109,30,36,0,5,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,2,13,0,1,0,33,9,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,313,0,0,0,1467,0,0,1467,1780
14001,Artigos do vestuário e acessórios,9985,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,18,0,1,0,9966,0,0,9967,9985
15001,Calçados e artefatos de couro,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,97,0,0,0,3258,0,0,3258,3355
16001,"Produtos de madeira, exclusive móveis",217,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,38,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,3,52,0,6,0,48,13,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,186,0,0,0,31,0,0,31,217
17001,Celulose,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,327
17002,"Papel, papelão, embalagens e artefatos de papel",1409,1,0,0,0,1,2,1,14,0,16,3,8,4,2,2,25,383,56,5,2,0,1,4,4,68,23,0,0,11,8,11,3,9,4,0,20,0,1,2,10,144,5,0,0,2,1,10,55,5,1,14,80,7,40,12,15,21,40,1,25,29,19,2,19,0,12,0,1263,0,0,0,146,0,0,146,1409
18001,Serviços de impressão e reprodução,115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,10,0,4,3,10,1,2,1,21,0,6,0,6,1,0,1,0,2,2,0,115,0,0,0,0,0,0,0,115
19911,Combustíveis para aviação,344,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,303,0,0,0,41,0,0,41,344
19912,Gasoálcool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19913,Naftas para petroquímica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19914,Óleo combustível  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19915,Diesel - biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19916,Outros produtos do refino do petróleo,3686,60,50,1,0,22,9,3,4,0,20,5,0,4,0,3,0,11,0,51,0,41,21,7,0,30,71,55,4,4,0,17,6,4,6,1,2,4,5,3,42,133,117,1,0,2,0,121,0,0,0,0,0,0,0,4,1,11,0,0,11,6,0,1,2,0,15,0,991,0,0,0,2695,0,0,2695,3686
19921,Etanol e outros biocombustíveis,142,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,56,0,0,0,86,0,0,86,142
20911,Produtos químicos inorgânicos,3050,398,74,5,5,94,0,6,0,8,40,0,0,12,0,13,0,158,1,0,1,1579,228,72,13,21,106,17,40,16,0,12,0,0,0,1,13,1,15,36,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,21,0,3050,0,0,0,0,0,0,0,3050
20912,Adubos e fertilizantes,495,424,42,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,495
20913,Produtos químicos orgânicos,3410,0,0,0,0,181,25,11,42,0,37,2,0,111,19,68,0,136,0,0,0,946,908,375,213,159,0,49,29,23,0,10,0,2,0,0,19,0,1,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,7,7,0,0,0,3410,0,0,0,0,0,0,0,3410
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",2765,8,0,0,0,85,0,0,0,0,1,0,2,245,0,82,42,102,3,0,0,122,131,71,5,1183,120,0,15,65,13,214,12,5,87,23,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2765,0,0,0,0,0,0,0,2765
20921,Defensivos agrícolas e desinfestantes domissanitários,1851,1269,142,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,298,37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,52,0,0,0,0,0,0,0,0,0,1808,0,0,0,43,0,0,43,1851
20922,Produtos químicos diversos ,952,0,0,0,91,13,9,7,44,1,120,6,0,7,0,4,21,23,11,14,7,28,121,44,42,50,20,18,2,9,0,5,8,3,1,2,15,12,1,8,22,75,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,3,0,2,11,0,30,0,0,1,0,917,0,0,0,35,0,0,35,952
20923,"Tintas, vernizes, esmaltes e lacas",278,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,20,14,0,0,0,1,0,0,26,13,0,0,9,6,0,1,8,3,2,4,9,0,0,106,19,3,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,2,0,278,0,0,0,0,0,0,0,278
20931,"Perfumaria, sabões e artigos de limpeza",11966,0,1,0,0,8,4,1,4,1,18,2,0,3,4,0,1,3,0,3,0,4,10,215,4,2,6,2,4,45,4,0,2,0,2,0,0,0,1,4,12,238,37,1,0,10,11,9,1,6,14,1,1,0,30,12,44,10,84,0,5,11,6,5,15,13,162,0,1096,0,0,0,10870,0,0,10870,11966
21001,Produtos farmacêuticos,10629,5,58,0,0,120,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,105,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,96,58,17,635,821,0,40,0,3770,0,809,0,6050,0,0,6859,10629
