Tabela 07 - Destino da margem de comércio sobre produtos nacionais - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
01918,Café em grão,1531,5,24,0,0,0,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,1109,400,0,0,0,22,0,422,1531
01919,Outros produtos da lavoura permanente,6910,2,1,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,192,0,3,0,6693,22,0,6718,6910
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",5315,61,290,2,0,0,0,0,3727,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,10,1,0,6,0,0,0,4118,0,0,0,202,995,0,1197,5315
01922,Leite de vaca e de outros animais,4306,9,208,5,0,0,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2494,0,0,0,1812,0,0,1812,4306
01923,Suínos,542,4,21,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,34,0,0,34,542
01924,Aves e ovos,2714,8,176,0,0,0,0,0,707,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,102,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1108,0,1,0,1600,5,0,1606,2714
02801,Produtos da exploração florestal e da silvicultura,3311,253,328,271,0,0,0,0,34,0,32,0,1,6,1,2,331,486,0,0,0,13,0,0,0,159,2,30,0,1,0,0,0,0,0,0,0,0,0,0,44,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2050,0,0,0,1227,34,0,1261,3311
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",2606,2,4,95,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,0,0,0,0,0,0,0,0,0,0,0,0,12,16,2,7,3,0,0,0,522,0,1,0,2083,0,0,2084,2606
05801,Carvão mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05802,Minerais não metálicos,4175,7,79,2,67,118,0,0,10,2,55,0,0,0,0,0,0,1,0,0,47,692,17,0,0,0,1265,80,57,0,0,9,0,0,5,0,7,0,0,82,1454,15,0,0,0,1,0,0,0,0,0,0,0,72,0,0,0,0,0,0,12,3,0,1,0,0,0,0,4160,15,0,0,0,0,0,15,4175
06801,"Petróleo, gás natural e serviços de apoio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07911,Minério de ferro,4921,0,0,0,0,0,123,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1759,3162,0,0,0,0,0,3162,4921
07921,Minerais metálicos não ferrosos,1501,0,0,0,0,18,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0,0,0,1501
10911,Carne de bovinos e outros produtos de carne,34560,0,365,0,0,0,0,0,565,0,76,0,0,0,0,260,0,0,0,0,179,0,0,368,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1143,0,0,0,0,0,0,0,0,0,0,0,0,44,44,6,22,19,0,5,0,3130,38,41,0,31351,0,0,31430,34560
10912,Carne de suíno,1890,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,374,0,0,0,1516,0,0,1516,1890
10913,Carne de aves,8591,0,0,0,0,0,0,0,182,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,358,0,0,0,0,0,0,0,0,0,0,0,0,13,14,2,7,7,0,3,0,632,0,0,0,7959,0,0,7959,8591
10914,Pescado industrializado,926,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1,4,1,0,1,0,191,0,0,0,735,0,0,735,926
10915,"Leite resfriado, esterilizado e pasteurizado",5157,0,0,0,0,0,0,0,1138,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,69,0,0,0,0,0,0,0,0,0,0,0,0,77,41,4,19,19,0,1,0,1407,0,5,0,3745,0,0,3750,5157
10916,Outros produtos do laticínio,14773,0,0,0,0,0,0,0,490,0,166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,191,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2,8,7,0,5,0,910,0,3,0,13860,0,0,13863,14773
10921,Açúcar,6796,4,27,0,0,0,0,0,71,237,937,192,0,0,0,0,0,0,0,0,126,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1,6,4,0,1,0,1947,801,0,0,4048,0,0,4849,6796
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",9400,0,0,0,0,0,0,0,18,0,286,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,37,37,4,16,10,0,1,0,826,177,7,0,8390,0,0,8574,9400
10932,Óleos e gorduras vegetais e animais,5540,32,154,0,0,0,0,0,538,0,796,0,0,0,0,0,0,0,0,0,30,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,1,0,1,0,1793,238,0,0,3509,0,0,3747,5540
10933,Café beneficiado,4998,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,9,351,0,0,0,0,23,4,2,0,0,0,0,0,9,10,1,4,7,0,2,0,466,9,2,0,4521,0,0,4532,4998
10934,Arroz beneficiado e produtos derivados do arroz,7017,1,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,6,4,0,1,0,208,0,6,0,6803,0,0,6809,7017
10935,"Produtos derivados do trigo, mandioca ou milho",12620,5,80,0,5,0,0,0,482,0,1083,287,0,0,0,0,0,115,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,2,1,0,4,0,2907,7,6,0,9700,0,0,9713,12620
10936,Rações balanceadas para animais,7045,149,1828,157,0,0,0,0,756,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,2,40,0,2991,0,0,0,4054,0,0,4054,7045
10937,Outros produtos alimentares,48656,4,34,2,0,0,0,0,654,0,1090,66,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,4,41,954,0,0,6,0,0,0,3,0,6,0,0,0,114,182,23,274,81,1,5,0,3607,79,40,0,44930,0,0,45049,48656
11001,Bebidas,19023,0,0,0,0,0,0,0,37,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,4804,0,0,0,0,10,0,0,0,0,0,0,0,5,6,1,3,14,3,1,0,5884,0,0,0,13139,0,0,13139,19023
12001,Produtos do fumo,1609,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,1375,0,0,1375,1609
13001,Fios e fibras têxteis beneficiadas,1924,15,0,0,0,0,0,0,0,0,0,0,0,999,851,7,0,0,0,0,0,0,0,0,18,7,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,0,0,0,15,0,0,15,1924
13002,Tecidos,4051,45,0,0,17,0,0,0,0,6,19,0,0,525,2310,488,0,0,0,0,0,0,1,0,3,3,1,0,0,6,0,0,0,0,254,9,212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3905,2,0,0,144,0,0,146,4051
13003,Artigos têxteis de uso doméstico e outros têxteis,12460,52,1,0,14,14,0,1,0,10,19,0,0,398,89,133,0,17,0,0,0,0,3,0,0,59,1,0,0,0,0,0,1,1,0,10,52,0,4,1,102,24,6,2,0,0,90,63,0,0,0,0,0,0,0,0,0,0,3,0,7,11,0,5,2,0,290,0,1485,0,0,0,10975,0,0,10975,12460
14001,Artigos do vestuário e acessórios,40238,0,0,1,0,10,0,0,0,0,0,0,0,1,316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,12,11,10,61,37,1,17,10,13,37,0,16,5,0,66,12,1,33,6,0,20,26,48,64,0,3,3,21,183,0,1052,102,6,0,39078,0,0,39186,40238
15001,Calçados e artefatos de couro,16637,0,0,0,0,1,0,0,1,0,1,0,0,0,0,872,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,36,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,950,78,0,0,15609,0,0,15687,16637
16001,"Produtos de madeira, exclusive móveis",6583,183,77,5,2,0,0,0,20,0,148,32,0,13,0,0,859,67,0,0,0,9,20,0,0,0,18,8,0,81,0,1,86,20,31,83,1700,0,99,1,1249,843,0,0,0,41,0,0,0,42,0,0,0,97,0,0,0,0,29,0,15,8,0,1,0,0,48,0,5936,60,0,0,570,17,0,647,6583
17001,Celulose,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,586
17002,"Papel, papelão, embalagens e artefatos de papel",14162,90,29,3,0,11,15,5,568,4,623,47,133,115,64,121,149,1686,254,32,12,13,37,279,168,386,362,6,3,264,180,86,35,53,114,13,182,4,16,12,82,1313,39,12,4,49,42,230,207,20,9,66,297,59,317,115,89,75,330,9,135,164,78,23,161,6,103,0,10208,0,0,0,3954,0,0,3954,14162
18001,Serviços de impressão e reprodução,11689,2,0,2,0,2,5,2,26,6,39,131,0,5,6,1,8,72,662,3,4,0,10,0,4,11,5,8,1,10,105,5,10,9,8,2,15,0,15,4,17,3663,29,0,21,29,1,27,923,93,413,181,821,161,272,142,1634,26,544,0,577,139,4,62,10,177,197,0,11361,0,0,0,328,0,0,328,11689
19911,Combustíveis para aviação,851,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,376,438,0,0,37,0,0,475,851
19912,Gasoálcool,29841,141,139,13,0,8,0,1,102,0,12,19,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,1,2,7,27,170,591,348,5,17,23,13,38,6,13,27,31,127,22,116,74,20,83,103,20,236,37,5,9,45,20,48,0,2766,0,0,0,27075,0,0,27075,29841
19913,Naftas para petroquímica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19914,Óleo combustível  ,994,3,2,0,23,4,0,18,28,0,18,6,0,2,0,0,2,46,0,16,0,37,7,1,0,2,29,15,85,1,0,0,4,0,0,0,0,0,192,4,47,35,0,57,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,707,287,0,0,0,0,0,287,994
19915,Diesel - biodiesel,15917,1229,391,62,78,22,334,122,225,131,325,59,2,17,14,14,8,48,3,3,124,101,35,28,20,69,127,89,19,36,23,29,29,99,19,18,28,23,424,74,586,1211,8287,49,7,153,2,0,0,0,0,0,0,0,0,1,0,7,0,31,35,13,8,2,4,5,23,0,14925,0,0,0,992,0,0,992,15917
19916,Outros produtos do refino do petróleo,14966,259,255,11,2,74,31,11,25,0,94,21,1,21,0,9,0,45,0,181,0,155,78,25,1,101,244,194,14,14,0,57,24,17,26,5,8,14,21,11,154,537,400,4,0,9,2,629,0,0,0,0,0,1,0,16,6,55,0,0,51,24,0,3,9,0,78,0,4027,17,0,0,10922,0,0,10939,14966
19921,Etanol e outros biocombustíveis,9721,17,21,0,0,75,0,0,5,5,8,4,0,0,0,0,1,0,0,1976,43,31,24,161,102,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,43,67,124,0,1,6,0,1,0,0,1,1,5,0,6,11,4,4,3,8,67,12,0,3,6,0,20,0,2874,0,0,0,6847,0,0,6847,9721
20911,Produtos químicos inorgânicos,5242,255,52,3,10,204,0,10,0,6,58,35,0,31,0,25,0,366,1,0,2,2005,363,141,24,93,236,157,132,84,0,23,5,1,3,106,32,70,27,185,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,58,237,0,108,0,5183,50,0,0,9,0,0,59,5242
20912,Adubos e fertilizantes,7384,6345,595,47,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,362,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7384,0,0,0,0,0,0,0,7384
20913,Produtos químicos orgânicos,2503,0,0,0,0,116,13,6,22,0,19,1,0,57,10,35,0,70,0,0,0,937,681,194,109,92,0,25,15,15,0,5,0,1,0,0,10,0,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,3,0,0,0,2457,46,0,0,0,0,0,46,2503
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",3300,9,1,0,0,102,0,0,0,0,1,0,2,294,0,98,49,123,3,0,0,145,157,85,6,1410,143,0,18,78,15,255,14,6,103,29,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,3300
20921,Defensivos agrícolas e desinfestantes domissanitários,3661,2571,290,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,562,71,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,102,0,0,0,0,0,0,0,0,0,3614,0,0,0,47,0,0,47,3661
20922,Produtos químicos diversos ,2394,0,3,0,227,32,22,18,108,1,302,14,0,16,0,11,49,58,27,38,17,72,312,111,106,126,51,45,5,21,0,12,20,8,1,4,39,29,2,22,53,187,1,0,0,4,0,0,0,0,0,0,4,3,0,1,1,0,6,0,4,28,0,78,0,0,1,0,2300,64,0,0,30,0,0,94,2394
20923,"Tintas, vernizes, esmaltes e lacas",4615,3,7,0,0,0,0,0,0,0,10,0,0,13,11,20,70,301,201,0,0,0,34,3,0,358,191,0,0,134,90,4,14,116,41,35,64,124,35,33,1757,281,60,0,0,0,2,0,41,34,0,0,0,270,0,1,0,3,92,0,31,14,0,1,0,0,18,0,4517,0,0,0,98,0,0,98,4615
20931,"Perfumaria, sabões e artigos de limpeza",20988,1,9,0,0,25,19,5,18,4,65,6,0,15,15,0,6,14,0,12,0,21,52,398,5,10,20,7,17,189,15,4,9,6,9,2,2,0,6,15,38,827,108,2,0,36,27,24,3,16,48,1,6,0,96,38,38,36,499,0,66,61,45,14,183,63,343,0,3619,7,0,0,17362,0,0,17369,20988
